state,year,production,yield_per_colony,colonies,price_per_lb
Florida,2015,11880000,54,220000,1.97
Florida,2016,10750000,50,215000,2.43
Florida,2017,9560381,43,205000,2.37
Florida,2018,10535000,49,215000,2.4
Florida,2019,9225000,45,205000,2.46
Florida,2020,8832000,46,192000,2.24
Florida,2021,8492000,44,193000,2.58
Florida,2022,14526000,35,210000,3.27
Florida,2023,4704000,32,147000,3
Florida,2024,4092000,33,124000,3.14
Florida,2025,3616000,32,113000,3.94
Georgia,2015,2760000,40,69000,2.43
Georgia,2016,3744000,39,96000,2.69
Georgia,2017,3014938,32,99000,3
Georgia,2018,3332000,34,98000,2.76
Georgia,2019,3366000,33,102000,2.67
Georgia,2020,3434000,34,101000,2.52
Georgia,2021,3264000,34,96000,2.72
Georgia,2022,4994913,32,103000,3.08
Georgia,2023,2541000,33,77000,3.45
Georgia,2024,1856000,29,64000,3.46
Georgia,2025,2144000,32,67000,3.68
Hawaii,2015,1632000,102,16000,1.91
Hawaii,2016,2034000,113,18000,2.31
Hawaii,2017,2668107,131,19000,1.53
Hawaii,2018,1751000,103,17000,1.92
Hawaii,2019,1280000,80,16000,1.3
Hawaii,2020,1575000,105,15000,1.7
Hawaii,2021,1860000,93,20000,2.22
Hawaii,2022,2170545,,,
Idaho,2015,2848000,32,89000,1.93
Idaho,2016,3298000,34,97000,1.82
Idaho,2017,4481733,44,95000,1.79
Idaho,2018,2976000,31,96000,1.96
Idaho,2019,2944000,32,92000,1.62
Idaho,2020,3745000,35,107000,1.76
Idaho,2021,3000000,30,100000,2.32
Idaho,2022,5762856,29,94000,2.73
Idaho,2023,2944000,32,92000,1.84
Idaho,2024,2508000,22,114000,2.19
Idaho,2025,3016000,29,104000,2.07
Illinois,2015,408000,51,8000,4.66
Illinois,2016,480000,48,10000,5.42
Illinois,2017,486533,46,11000,5.09
Illinois,2018,451000,41,11000,4.83
Illinois,2019,429000,39,11000,4.12
Illinois,2020,520000,52,10000,5.65
Illinois,2021,460000,46,10000,5.49
Illinois,2022,803845,47,10000,6.27
Illinois,2023,441000,49,9000,7.15
Indiana,2015,318000,53,6000,3.23
Indiana,2016,496000,62,8000,3.46
Indiana,2017,518857,52,8000,3.61
Indiana,2018,322000,46,7000,3.58
Indiana,2019,495000,55,9000,3.78
Indiana,2020,495000,55,9000,3.91
Indiana,2021,520000,52,10000,4.09
Indiana,2022,908140,63,9000,4.74
Indiana,2023,477000,53,9000,4.31
Iowa,2015,1800000,50,36000,2.2
Iowa,2016,1776000,48,37000,2.08
Iowa,2017,1982563,58,35000,2.26
Iowa,2018,1862000,49,38000,2.4
Iowa,2019,2090000,55,38000,2.35
Iowa,2020,2030000,58,35000,2.54
Iowa,2021,2090000,55,38000,2.45
Iowa,2022,2104054,51,48000,3.06
Iowa,2023,2640000,66,40000,3.05
Iowa,2024,2747000,67,41000,3.82
Iowa,2025,2108000,62,34000,5.43
Kansas,2015,288000,36,8000,3.5
Kansas,2016,336000,48,7000,3.04
Kansas,2017,443738,79,7000,4.03
Kansas,2018,365000,73,5000,3.1
Kansas,2019,553000,79,7000,2.35
Kansas,2020,496000,62,8000,3.25
Kansas,2021,294000,42,7000,3.07
Kansas,2022,845894,62,6000,4.34
Kansas,2023,260000,52,5000,5.49
Kentucky,2015,230000,46,5000,4.04
Kentucky,2016,230000,46,5000,4.02
Kentucky,2017,344614,38,5000,4.13
Kentucky,2018,164000,41,4000,5.43
Kentucky,2019,246000,41,6000,4.66
Kentucky,2020,231000,33,7000,5.76
Kentucky,2021,259000,37,7000,4.92
Kentucky,2022,482601,36,7000,6.12
Kentucky,2023,300000,30,10000,6.44
Louisiana,2015,4356000,99,44000,1.95
Louisiana,2016,4300000,86,50000,1.94
Louisiana,2017,3427531,81,43000,1.93
Louisiana,2018,3735000,83,45000,1.91
Louisiana,2019,3888000,72,54000,2.15
Louisiana,2020,2277000,69,33000,2.46
Louisiana,2021,2146000,58,37000,2.49
Louisiana,2022,3989186,61,42000,2.96
Louisiana,2023,2295000,45,51000,3.88
Louisiana,2024,3400000,50,68000,2.53
Louisiana,2025,3286000,53,62000,2.47
Maine,2015,470000,47,10000,5.43
Maine,2016,408000,34,12000,3.38
Maine,2017,373717,33,12000,5
Maine,2018,384000,32,12000,2.98
Maine,2019,525000,35,15000,3.28
Maine,2020,300000,30,10000,3.36
Maine,2021,374000,34,11000,3.43
Maine,2022,292411,23,10000,6.4
Maine,2023,216000,18,12000,5.11
Maryland,2017,167130,,,
Maryland,2022,222384,,,
Massachusetts,2017,258263,,,
Massachusetts,2022,495799,,,
Michigan,2015,5220000,58,90000,2.44
Michigan,2016,5340000,60,89000,2.37
Michigan,2017,4591286,45,87000,2.42
Michigan,2018,4268000,44,97000,2.49
Michigan,2019,4700000,50,94000,2.56
Michigan,2020,4465000,47,95000,2.95
Michigan,2021,5100000,51,100000,3
Michigan,2022,6168358,41,82000,3.04
Michigan,2023,3850000,55,70000,3.1
Michigan,2024,5002000,61,82000,3.07
Michigan,2025,3738000,42,89000,3.27
Minnesota,2015,8296000,68,122000,1.84
Minnesota,2016,7316000,59,124000,1.69
Minnesota,2017,7653535,62,126000,1.93
Minnesota,2018,7259000,61,119000,1.94
Minnesota,2019,6962000,59,118000,1.83
Minnesota,2020,5940000,55,108000,1.8
Minnesota,2021,7125000,57,125000,2.99
Minnesota,2022,8865510,51,102000,2.79
Minnesota,2023,6148000,58,106000,2.02
Minnesota,2024,6858000,54,127000,1.9
Minnesota,2025,5650000,50,113000,2.38
Mississippi,2015,1245000,83,15000,2.4
Mississippi,2016,1615000,85,19000,1.73
Mississippi,2017,1460497,86,18000,1.82
Mississippi,2018,1740000,87,20000,2.07
Mississippi,2019,1760000,80,22000,1.87
Mississippi,2020,1825000,73,25000,1.99
Mississippi,2021,1775000,71,25000,2.85
Mississippi,2022,3256416,95,21000,3.2
Mississippi,2023,1050000,42,25000,3.23
Mississippi,2024,2320000,80,29000,3.42
Mississippi,2025,2225000,89,25000,2.32
Missouri,2015,520000,52,10000,3.55
Missouri,2016,496000,62,8000,2.31
Missouri,2017,655849,65,8000,3.7
Missouri,2018,405000,45,9000,2.83
Missouri,2019,430000,43,10000,3.35
Missouri,2020,369000,41,9000,3.59
Missouri,2021,280000,35,8000,4.49
Missouri,2022,720693,41,8000,5.23
Missouri,2023,387000,43,9000,4.96
Montana,2015,12118000,83,146000,1.94
Montana,2016,12243000,77,159000,1.77
Montana,2017,11609849,72,145000,2.24
Montana,2018,14720000,92,160000,1.9
Montana,2019,14878000,86,173000,1.49
Montana,2020,8910000,81,110000,1.61
Montana,2021,6669000,57,117000,2.19
Montana,2022,8822137,61,123000,2.64
Montana,2023,9690000,85,114000,2.01
Montana,2024,10082000,71,142000,2.21
Montana,2025,10455000,85,123000,2.18
Nebraska,2015,2736000,48,57000,2.04
Nebraska,2016,2208000,46,48000,1.91
Nebraska,2017,2629291,63,42000,1.91
Nebraska,2018,2360000,59,40000,2.01
Nebraska,2019,2028000,52,39000,1.44
Nebraska,2020,1924000,52,37000,1.69
Nebraska,2021,1786000,47,38000,2.48
Nebraska,2022,2400761,44,34000,2.89
Nebraska,2023,1584000,48,33000,2.35
Nevada,2017,123516,,,
Nevada,2022,121005,,,
New Hampshire,2017,81538,,,
New Hampshire,2022,158122,,,
New Jersey,2015,324000,27,12000,4.2
New Jersey,2016,324000,27,12000,7.09
New Jersey,2017,488281,28,13000,8.74
New Jersey,2018,403000,31,13000,7.47
New Jersey,2019,420000,28,15000,4.68
New Jersey,2020,434000,31,14000,4.32
New Jersey,2021,525000,35,15000,3.44
New Jersey,2022,636431,39,16000,4.26
New Jersey,2023,540000,36,15000,7.46
New Mexico,2017,311818,,,
New Mexico,2022,342073,,,
New York,2015,3596000,62,58000,2.94
New York,2016,3648000,57,64000,3.19
New York,2017,3046315,56,57000,3.03
New York,2018,2688000,48,56000,3.24
New York,2019,3422000,58,59000,4
New York,2020,3248000,56,58000,3.13
New York,2021,3021000,53,57000,3.98
New York,2022,2847841,53,54000,3.82
New York,2023,2378000,58,41000,4.63
New York,2024,2756000,53,52000,5.42
New York,2025,2912000,56,52000,5.14
North Carolina,2015,540000,45,12000,4.51
North Carolina,2016,444000,37,12000,4.78
North Carolina,2017,641811,41,11000,4.58
North Carolina,2018,330000,33,10000,5.76
North Carolina,2019,588000,42,14000,4.11
North Carolina,2020,456000,38,12000,5.5
North Carolina,2021,507000,39,13000,6.69
North Carolina,2022,1026513,39,13000,6.93
North Carolina,2023,484000,44,11000,6.52
North Carolina,2024,600000,40,15000,6.3
North Carolina,2025,672000,42,16000,7.99
North Dakota,2015,36260000,74,490000,1.8
North Dakota,2016,37830000,78,485000,1.85
North Dakota,2017,33675273,74,455000,1.91
North Dakota,2018,39600000,72,550000,1.87
North Dakota,2019,33800000,65,520000,1.43
North Dakota,2020,38610000,78,495000,1.59
North Dakota,2021,28325000,55,515000,2.23
North Dakota,2022,40873481,60,520000,2.6
North Dakota,2023,38250000,75,510000,1.78
North Dakota,2024,36260000,74,490000,1.85
North Dakota,2025,30820000,67,460000,1.89
Ohio,2015,850000,50,17000,3.6
Ohio,2016,1185000,79,15000,3.93
Ohio,2017,1091292,73,15000,3.24
Ohio,2018,1022000,73,14000,3.72
Ohio,2019,1005000,67,15000,3.46
Ohio,2020,1200000,75,16000,3.5
Ohio,2021,1024000,64,16000,3.64
Ohio,2022,1825233,66,19000,3.52
Ohio,2023,1300000,65,20000,4.36
Ohio,2024,1254000,57,22000,5.44
Ohio,2025,765000,45,17000,6.45
Oklahoma,2017,149116,,,
Oklahoma,2022,234008,,,
Oregon,2015,2698000,38,71000,2.43
Oregon,2016,2590000,35,74000,1.91
Oregon,2017,3041234,40,78000,2.1
Oregon,2018,3255000,35,93000,2.36
Oregon,2019,2784000,32,87000,2.5
Oregon,2020,2755000,29,95000,2.4
Oregon,2021,2666000,31,86000,2.27
Oregon,2022,4373045,37,92000,3.27
Oregon,2023,3330000,37,90000,2.75
Oregon,2024,2856000,34,84000,2.58
Oregon,2025,2349000,27,87000,2.09
Pennsylvania,2015,901000,53,17000,3.62
Pennsylvania,2016,950000,50,19000,3.03
Pennsylvania,2017,811394,46,16000,3.51
Pennsylvania,2018,836000,44,19000,3.89
Pennsylvania,2019,950000,50,19000,4.41
Pennsylvania,2020,912000,48,19000,4.12
Pennsylvania,2021,840000,42,20000,3.86
Pennsylvania,2022,1767195,46,23000,5.59
Pennsylvania,2023,1100000,55,20000,5.38
Pennsylvania,2024,1196000,52,23000,5.58
Pennsylvania,2025,1425000,57,25000,4.33
Rhode Island,2017,54173,,,
Rhode Island,2022,68208,,,
South Carolina,2015,938000,67,14000,4.1
South Carolina,2016,720000,45,16000,4.57
South Carolina,2017,532866,34,16000,2.7
South Carolina,2018,768000,48,16000,3.17
South Carolina,2019,752000,47,16000,5.03
South Carolina,2020,736000,46,16000,3.44
South Carolina,2021,630000,42,15000,5.93
South Carolina,2022,541974,39,13000,5
South Carolina,2023,572000,52,11000,4.62
South Dakota,2015,19140000,66,290000,1.79
South Dakota,2016,19880000,71,280000,1.76
South Dakota,2017,12945874,57,255000,2.07
South Dakota,2018,11985000,47,255000,1.91
South Dakota,2019,19440000,72,270000,1.56
South Dakota,2020,14945000,61,245000,1.77
South Dakota,2021,12250000,49,250000,2.4
South Dakota,2022,7799314,39,185000,2.57
South Dakota,2023,18270000,87,210000,1.95
South Dakota,2024,13250000,53,250000,2.75
South Dakota,2025,8200000,40,205000,2.44
Tennessee,2015,413000,59,7000,4.04
Tennessee,2016,330000,55,6000,4.88
Tennessee,2017,524051,41,7000,4.57
Tennessee,2018,322000,46,7000,4.11
Tennessee,2019,456000,57,8000,4.72
Tennessee,2020,357000,51,7000,4.23
Tennessee,2021,448000,56,8000,4.84
Tennessee,2022,708241,47,9000,5.65
Tennessee,2023,480000,40,12000,4.78
Texas,2015,8316000,66,126000,2.1
Texas,2016,9310000,70,133000,2.08
Texas,2017,5689241,66,120000,2.17
Texas,2018,7392000,56,132000,2.12
Texas,2019,7560000,60,126000,2.32
Texas,2020,8949000,57,157000,2
Texas,2021,7672000,56,137000,2.32
Texas,2022,8497622,53,157000,3.27
Texas,2023,3885000,35,111000,3.18
Texas,2024,4094000,46,89000,2.41
Texas,2025,2160000,30,72000,3.91
Utah,2015,1134000,42,27000,1.92
Utah,2016,992000,32,31000,1.93
Utah,2017,943774,31,27000,2.08
Utah,2018,1066000,41,26000,2.1
Utah,2019,638000,29,22000,1.97
Utah,2020,952000,34,28000,2.02
Utah,2021,1023000,33,31000,2.36
Utah,2022,1027235,46,26000,3
Utah,2023,1008000,42,24000,2.03
Vermont,2015,260000,52,5000,4.23
Vermont,2016,312000,52,6000,3.64
Vermont,2017,436475,54,7000,4.02
Vermont,2018,336000,48,7000,3.76
Vermont,2019,288000,48,6000,4.48
Vermont,2020,282000,47,6000,3.94
Vermont,2021,282000,47,6000,4.02
Vermont,2022,565491,47,6000,6.75
Vermont,2023,294000,49,6000,4.39
Virginia,2015,185000,37,5000,5.53
Virginia,2016,190000,38,5000,5.85
Virginia,2017,281605,35,6000,5.77
Virginia,2018,160000,40,4000,7.24
Virginia,2019,195000,39,5000,7.19
Virginia,2020,200000,40,5000,6.03
Virginia,2021,240000,40,6000,8.17
Virginia,2022,500797,38,7000,7.94
Virginia,2023,195000,39,5000,9.49
Washington,2015,3212000,44,73000,1.8
Washington,2016,2940000,35,84000,1.99
Washington,2017,2874892,45,77000,2.44
Washington,2018,3311000,43,77000,2.15
Washington,2019,2835000,35,81000,2.18
Washington,2020,3626000,37,98000,2.51
Washington,2021,3072000,32,96000,2.51
Washington,2022,3388225,32,86000,3.18
Washington,2023,2241000,27,83000,2.53
Washington,2024,2160000,30,72000,3.37
Washington,2025,2046000,31,66000,4.36
West Virginia,2015,175000,35,5000,4.44
West Virginia,2016,160000,32,5000,3.92
West Virginia,2017,330128,40,6000,3.93
West Virginia,2018,222000,37,6000,4.33
West Virginia,2019,222000,37,6000,4.26
West Virginia,2020,276000,46,6000,3.81
West Virginia,2021,258000,43,6000,5.14
West Virginia,2022,365410,39,7000,5.91
West Virginia,2023,306000,51,6000,5.69
Wisconsin,2015,3484000,67,52000,2.43
Wisconsin,2016,3348000,62,54000,2.67
Wisconsin,2017,2969826,56,53000,2.82
Wisconsin,2018,2295000,45,51000,2.95
Wisconsin,2019,2162000,47,46000,3
Wisconsin,2020,2250000,50,45000,3.11
Wisconsin,2021,1974000,47,42000,3.09
Wisconsin,2022,2660990,55,53000,3.22
Wisconsin,2023,2790000,45,62000,3.49
Wisconsin,2024,2508000,44,57000,3.74
Wisconsin,2025,1500000,30,50000,4.52
Wyoming,2015,2926000,77,38000,1.9
Wyoming,2016,2720000,68,40000,1.78
Wyoming,2017,1697296,53,39000,1.61
Wyoming,2018,2184000,56,39000,1.91
Wyoming,2019,2184000,56,39000,1.43
Wyoming,2020,1520000,40,38000,1.71
Wyoming,2021,2204000,58,38000,2.09
Wyoming,2022,1224763,45,30000,2.65
Wyoming,2023,2106000,78,27000,1.63
