state,year,quarter,stressor,pct_affected
Alabama,2017,Q3,Unknown Causes,3.9
Alabama,2017,Q3,Varroa Mites,69.5
Alabama,2017,Q4,Disease,8.8
Alabama,2017,Q4,Other Causes,1.7
Alabama,2017,Q4,Pesticides,9.5
Alabama,2017,Q4,Pests (Excl Varroa Mites),10.1
Alabama,2017,Q4,Unknown Causes,5.2
Alabama,2017,Q4,Varroa Mites,22.3
Alabama,2018,Q1,Disease,1.9
Alabama,2018,Q1,Other Causes,8.6
Alabama,2018,Q1,Pesticides,14.9
Alabama,2018,Q1,Pests (Excl Varroa Mites),30.2
Alabama,2018,Q1,Unknown Causes,4.5
Alabama,2018,Q1,Varroa Mites,29.2
Alabama,2018,Q2,Disease,1.3
Alabama,2018,Q2,Other Causes,9.4
Alabama,2018,Q2,Pesticides,14.4
Alabama,2018,Q2,Pests (Excl Varroa Mites),27.3
Alabama,2018,Q2,Unknown Causes,2.1
Alabama,2018,Q2,Varroa Mites,25.2
Alabama,2018,Q3,Disease,0.7
Alabama,2018,Q3,Other Causes,7.8
Alabama,2018,Q3,Pesticides,14.6
Alabama,2018,Q3,Pests (Excl Varroa Mites),69.4
Alabama,2018,Q3,Unknown Causes,6.8
Alabama,2018,Q3,Varroa Mites,77.5
Alabama,2018,Q4,Disease,1.3
Alabama,2018,Q4,Other Causes,3.4
Alabama,2018,Q4,Pesticides,1.5
Alabama,2018,Q4,Pests (Excl Varroa Mites),20.5
Alabama,2018,Q4,Unknown Causes,7.5
Alabama,2018,Q4,Varroa Mites,20.6
Alabama,2019,Q1,Disease,1.8
Alabama,2019,Q1,Other Causes,3.1
Alabama,2019,Q1,Pesticides,0.3
Alabama,2019,Q1,Pests (Excl Varroa Mites),22.7
Alabama,2019,Q1,Unknown Causes,9
Alabama,2019,Q1,Varroa Mites,27.2
Alabama,2019,Q3,Disease,2.9
Alabama,2019,Q3,Other Causes,9.7
Alabama,2019,Q3,Pesticides,0.2
Alabama,2019,Q3,Pests (Excl Varroa Mites),24.6
Alabama,2019,Q3,Unknown Causes,6.4
Alabama,2019,Q3,Varroa Mites,30.6
Alabama,2019,Q4,Disease,0.6
Alabama,2019,Q4,Other Causes,9
Alabama,2019,Q4,Pesticides,4.9
Alabama,2019,Q4,Pests (Excl Varroa Mites),26.7
Alabama,2019,Q4,Unknown Causes,11.3
Alabama,2019,Q4,Varroa Mites,46.7
Alabama,2020,Q1,Disease,0
Alabama,2020,Q1,Other Causes,1.7
Alabama,2020,Q1,Pesticides,0.1
Alabama,2020,Q1,Pests (Excl Varroa Mites),3.4
Alabama,2020,Q1,Unknown Causes,4.3
Alabama,2020,Q1,Varroa Mites,12.4
Alabama,2020,Q2,Disease,1.6
Alabama,2020,Q2,Other Causes,7.9
Alabama,2020,Q2,Pesticides,7.7
Alabama,2020,Q2,Pests (Excl Varroa Mites),18
Alabama,2020,Q2,Unknown Causes,9.5
Alabama,2020,Q2,Varroa Mites,28.5
Alabama,2020,Q3,Disease,0
Alabama,2020,Q3,Other Causes,5.4
Alabama,2020,Q3,Pesticides,12
Alabama,2020,Q3,Pests (Excl Varroa Mites),29.1
Alabama,2020,Q3,Unknown Causes,11.7
Alabama,2020,Q3,Varroa Mites,64.9
Alabama,2020,Q4,Disease,15.4
Alabama,2020,Q4,Other Causes,2.3
Alabama,2020,Q4,Pesticides,2
Alabama,2020,Q4,Pests (Excl Varroa Mites),43.2
Alabama,2020,Q4,Unknown Causes,16.9
Alabama,2020,Q4,Varroa Mites,50.8
Alabama,2021,Q1,Disease,0
Alabama,2021,Q1,Other Causes,3.1
Alabama,2021,Q1,Pests (Excl Varroa Mites),30.3
Alabama,2021,Q1,Unknown Causes,4
Alabama,2021,Q1,Varroa Mites,52.2
Alabama,2021,Q2,Disease,0.5
Alabama,2021,Q2,Other Causes,5.8
Alabama,2021,Q2,Pesticides,2.1
Alabama,2021,Q2,Pests (Excl Varroa Mites),35
Alabama,2021,Q2,Unknown Causes,7.4
Alabama,2021,Q2,Varroa Mites,55.2
Alabama,2021,Q3,Disease,0.9
Alabama,2021,Q3,Other Causes,16.3
Alabama,2021,Q3,Pesticides,11
Alabama,2021,Q3,Pests (Excl Varroa Mites),25.9
Alabama,2021,Q3,Unknown Causes,1.9
Alabama,2021,Q3,Varroa Mites,37.4
Alabama,2021,Q4,Disease,3.5
Alabama,2021,Q4,Other Causes,2.5
Alabama,2021,Q4,Pesticides,6.8
Alabama,2021,Q4,Pests (Excl Varroa Mites),44.7
Alabama,2021,Q4,Unknown Causes,1.4
Alabama,2021,Q4,Varroa Mites,60.8
Alabama,2022,Q1,Disease,0
Alabama,2022,Q1,Other Causes,10.8
Alabama,2022,Q1,Pesticides,3.7
Alabama,2022,Q1,Pests (Excl Varroa Mites),17
Alabama,2022,Q1,Unknown Causes,5.3
Alabama,2022,Q1,Varroa Mites,36.9
Alabama,2022,Q2,Disease,1
Alabama,2022,Q2,Other Causes,17.9
Alabama,2022,Q2,Pesticides,6.9
Alabama,2022,Q2,Pests (Excl Varroa Mites),14.3
Alabama,2022,Q2,Unknown Causes,3.7
Alabama,2022,Q2,Varroa Mites,36
Alabama,2022,Q3,Disease,0.5
Alabama,2022,Q3,Other Causes,5.5
Alabama,2022,Q3,Pesticides,4.2
Alabama,2022,Q3,Pests (Excl Varroa Mites),25.7
Alabama,2022,Q3,Unknown Causes,4
Alabama,2022,Q3,Varroa Mites,70.7
Alabama,2022,Q4,Disease,0
Alabama,2022,Q4,Other Causes,5.6
Alabama,2022,Q4,Pesticides,0.6
Alabama,2022,Q4,Pests (Excl Varroa Mites),9.7
Alabama,2022,Q4,Unknown Causes,6.7
Alabama,2022,Q4,Varroa Mites,23.1
Alabama,2023,Q1,Disease,0.7
Alabama,2023,Q1,Other Causes,9.9
Alabama,2023,Q1,Pesticides,1.5
Alabama,2023,Q1,Pests (Excl Varroa Mites),18.3
Alabama,2023,Q1,Unknown Causes,8.3
Alabama,2023,Q1,Varroa Mites,31.9
Alabama,2023,Q2,Disease,2.2
Alabama,2023,Q2,Other Causes,4.5
Alabama,2023,Q2,Pesticides,1
Alabama,2023,Q2,Pests (Excl Varroa Mites),10.5
Alabama,2023,Q2,Unknown Causes,9.2
Alabama,2023,Q2,Varroa Mites,37.1
Alabama,2023,Q3,Disease,4.1
Alabama,2023,Q3,Other Causes,4.4
Alabama,2023,Q3,Pesticides,1.1
Alabama,2023,Q3,Pests (Excl Varroa Mites),35.3
Alabama,2023,Q3,Unknown Causes,6.4
Alabama,2023,Q3,Varroa Mites,67.5
Alabama,2023,Q4,Disease,8.2
Alabama,2023,Q4,Other Causes,14.5
Alabama,2023,Q4,Pesticides,2.1
Alabama,2023,Q4,Pests (Excl Varroa Mites),62.4
Alabama,2023,Q4,Unknown Causes,5.1
Alabama,2023,Q4,Varroa Mites,72
Alabama,2024,Q1,Disease,6.3
Alabama,2024,Q1,Other Causes,2.9
Alabama,2024,Q1,Pesticides,1.9
Alabama,2024,Q1,Pests (Excl Varroa Mites),18.8
Alabama,2024,Q1,Unknown Causes,4.5
Alabama,2024,Q1,Varroa Mites,24
Alabama,2024,Q2,Disease,3.6
Alabama,2024,Q2,Other Causes,5.3
Alabama,2024,Q2,Pesticides,2.4
Alabama,2024,Q2,Pests (Excl Varroa Mites),23.2
Alabama,2024,Q2,Unknown Causes,1.3
Alabama,2024,Q2,Varroa Mites,70.1
Arizona,2015,Q1,Disease,0.1
Arizona,2015,Q1,Other Causes,1.8
Arizona,2015,Q1,Pesticides,0
Arizona,2015,Q1,Pests (Excl Varroa Mites),20.5
Arizona,2015,Q1,Unknown Causes,3.1
Arizona,2015,Q1,Varroa Mites,26.9
Arizona,2015,Q2,Disease,0.5
Arizona,2015,Q2,Other Causes,28.2
Arizona,2015,Q2,Pesticides,20.1
Arizona,2015,Q2,Pests (Excl Varroa Mites),32.1
Arizona,2015,Q2,Unknown Causes,0.3
Arizona,2015,Q2,Varroa Mites,8.4
Arizona,2015,Q3,Disease,5.4
Arizona,2015,Q3,Other Causes,7.6
Arizona,2015,Q3,Pesticides,17.3
Arizona,2015,Q3,Pests (Excl Varroa Mites),24.8
Arizona,2015,Q3,Unknown Causes,5.1
Arizona,2015,Q3,Varroa Mites,53.5
Arizona,2015,Q4,Disease,1.1
Arizona,2015,Q4,Other Causes,0.5
Arizona,2015,Q4,Pesticides,3.5
Arizona,2015,Q4,Pests (Excl Varroa Mites),1.7
Arizona,2015,Q4,Unknown Causes,15.5
Arizona,2015,Q4,Varroa Mites,50.1
Arizona,2016,Q1,Disease,0
Arizona,2016,Q1,Other Causes,6.5
Arizona,2016,Q1,Pesticides,7.7
Arizona,2016,Q1,Pests (Excl Varroa Mites),2.8
Arizona,2016,Q1,Unknown Causes,7.2
Arizona,2016,Q1,Varroa Mites,33.8
Arizona,2016,Q2,Disease,17.2
Arizona,2016,Q2,Other Causes,17.4
Arizona,2016,Q2,Pesticides,12
Arizona,2016,Q2,Pests (Excl Varroa Mites),47.5
Arizona,2016,Q2,Unknown Causes,3.5
Arizona,2016,Q2,Varroa Mites,26.8
Arizona,2016,Q3,Disease,0.9
Arizona,2016,Q3,Other Causes,13.4
Arizona,2016,Q3,Pesticides,13.5
Arizona,2016,Q3,Pests (Excl Varroa Mites),1
Arizona,2016,Q3,Unknown Causes,8.9
Arizona,2016,Q3,Varroa Mites,41.7
Arizona,2016,Q4,Disease,2.3
Arizona,2016,Q4,Other Causes,4.3
Arizona,2016,Q4,Pesticides,6.5
Arizona,2016,Q4,Pests (Excl Varroa Mites),15.5
Arizona,2016,Q4,Unknown Causes,3.2
Arizona,2016,Q4,Varroa Mites,98.8
Arizona,2017,Q1,Disease,3.8
Arizona,2017,Q1,Other Causes,6.5
Arizona,2017,Q1,Pesticides,1.7
Arizona,2017,Q1,Pests (Excl Varroa Mites),2
Arizona,2017,Q1,Unknown Causes,2.1
Arizona,2017,Q1,Varroa Mites,35.6
Arizona,2017,Q2,Disease,19.7
Arizona,2017,Q2,Other Causes,20.4
Arizona,2017,Q2,Pesticides,12.4
Arizona,2017,Q2,Pests (Excl Varroa Mites),15.9
Arizona,2017,Q2,Unknown Causes,0.7
Arizona,2017,Q2,Varroa Mites,58.4
Arizona,2017,Q3,Disease,0.5
Arizona,2017,Q3,Other Causes,12.4
Arizona,2017,Q3,Pesticides,1.1
Arizona,2017,Q3,Pests (Excl Varroa Mites),0.4
Arizona,2017,Q3,Unknown Causes,6.3
Arizona,2017,Q3,Varroa Mites,19.8
Arizona,2017,Q4,Disease,2.3
Arizona,2017,Q4,Other Causes,4.1
Arizona,2017,Q4,Pesticides,1.6
Arizona,2017,Q4,Pests (Excl Varroa Mites),4.2
Arizona,2017,Q4,Unknown Causes,0.1
Arizona,2017,Q4,Varroa Mites,61.6
Arizona,2018,Q1,Disease,4.6
Arizona,2018,Q1,Other Causes,7.9
Arizona,2018,Q1,Pesticides,15.3
Arizona,2018,Q1,Pests (Excl Varroa Mites),4.3
Arizona,2018,Q1,Unknown Causes,4.2
Arizona,2018,Q1,Varroa Mites,36.3
Arizona,2018,Q2,Disease,32.8
Arizona,2018,Q2,Other Causes,14.3
Arizona,2018,Q2,Pesticides,0.8
Arizona,2018,Q2,Pests (Excl Varroa Mites),7.2
Arizona,2018,Q2,Unknown Causes,4.1
Arizona,2018,Q2,Varroa Mites,73.8
Arizona,2018,Q3,Disease,4.5
Arizona,2018,Q3,Other Causes,15
Arizona,2018,Q3,Pesticides,3.8
Arizona,2018,Q3,Pests (Excl Varroa Mites),2.3
Arizona,2018,Q3,Unknown Causes,27.6
Arizona,2018,Q3,Varroa Mites,52.5
Arizona,2018,Q4,Disease,3.1
Arizona,2018,Q4,Other Causes,7.1
Arizona,2018,Q4,Pests (Excl Varroa Mites),8.3
Arizona,2018,Q4,Unknown Causes,3
Arizona,2018,Q4,Varroa Mites,20.6
Arizona,2019,Q1,Disease,6.5
Arizona,2019,Q1,Other Causes,8.4
Arizona,2019,Q1,Pesticides,16.2
Arizona,2019,Q1,Pests (Excl Varroa Mites),7.9
Arizona,2019,Q1,Unknown Causes,0.2
Arizona,2019,Q1,Varroa Mites,25.8
Arizona,2019,Q3,Disease,2.7
Arizona,2019,Q3,Other Causes,13.2
Arizona,2019,Q3,Pesticides,11.4
Arizona,2019,Q3,Pests (Excl Varroa Mites),9.9
Arizona,2019,Q3,Unknown Causes,0.6
Arizona,2019,Q3,Varroa Mites,29
Arizona,2019,Q4,Disease,0.4
Arizona,2019,Q4,Other Causes,4
Arizona,2019,Q4,Pesticides,23.3
Arizona,2019,Q4,Pests (Excl Varroa Mites),1.5
Arizona,2019,Q4,Unknown Causes,2.9
Arizona,2019,Q4,Varroa Mites,53.9
Arizona,2020,Q1,Other Causes,10.1
Arizona,2020,Q1,Pesticides,0
Arizona,2020,Q1,Unknown Causes,9
Arizona,2020,Q1,Varroa Mites,31.7
Arizona,2020,Q2,Other Causes,5.5
Arizona,2020,Q2,Pesticides,4.2
Arizona,2020,Q2,Pests (Excl Varroa Mites),0
Arizona,2020,Q2,Unknown Causes,0.6
Arizona,2020,Q2,Varroa Mites,22.1
Arizona,2020,Q3,Disease,1.9
Arizona,2020,Q3,Other Causes,9.3
Arizona,2020,Q3,Pesticides,1.7
Arizona,2020,Q3,Unknown Causes,12.2
Arizona,2020,Q3,Varroa Mites,24.1
Arizona,2020,Q4,Other Causes,2.3
Arizona,2020,Q4,Pesticides,4.5
Arizona,2020,Q4,Unknown Causes,18.3
Arizona,2020,Q4,Varroa Mites,22.5
Arizona,2021,Q1,Disease,6
Arizona,2021,Q1,Other Causes,0.5
Arizona,2021,Q1,Pesticides,0
Arizona,2021,Q1,Pests (Excl Varroa Mites),6.1
Arizona,2021,Q1,Unknown Causes,3.8
Arizona,2021,Q1,Varroa Mites,6.7
Arizona,2021,Q2,Disease,3.6
Arizona,2021,Q2,Other Causes,7.1
Arizona,2021,Q2,Pesticides,1.2
Arizona,2021,Q2,Pests (Excl Varroa Mites),0
Arizona,2021,Q2,Unknown Causes,6.9
Arizona,2021,Q2,Varroa Mites,7.4
Arizona,2021,Q3,Disease,0.7
Arizona,2021,Q3,Other Causes,5.4
Arizona,2021,Q3,Pesticides,6.6
Arizona,2021,Q3,Pests (Excl Varroa Mites),1.5
Arizona,2021,Q3,Unknown Causes,10.6
Arizona,2021,Q3,Varroa Mites,20.3
Arizona,2021,Q4,Other Causes,1.8
Arizona,2021,Q4,Pesticides,3.3
Arizona,2021,Q4,Pests (Excl Varroa Mites),35.2
Arizona,2021,Q4,Unknown Causes,0.9
Arizona,2021,Q4,Varroa Mites,67.2
Arizona,2022,Q1,Disease,3
Arizona,2022,Q1,Pests (Excl Varroa Mites),0
Arizona,2022,Q1,Unknown Causes,0.5
Arizona,2022,Q1,Varroa Mites,14.8
Arizona,2022,Q2,Disease,1.3
Arizona,2022,Q2,Other Causes,4.8
Arizona,2022,Q2,Pesticides,0
Arizona,2022,Q2,Varroa Mites,8.4
Arizona,2022,Q3,Disease,1.1
Arizona,2022,Q3,Other Causes,2.2
Arizona,2022,Q3,Pesticides,4.5
Arizona,2022,Q3,Pests (Excl Varroa Mites),0.9
Arizona,2022,Q3,Unknown Causes,3.8
Arizona,2022,Q3,Varroa Mites,6.4
Arizona,2022,Q4,Disease,0.9
Arizona,2022,Q4,Other Causes,3.1
Arizona,2022,Q4,Pesticides,0
Arizona,2022,Q4,Pests (Excl Varroa Mites),0.5
Arizona,2022,Q4,Unknown Causes,1.8
Arizona,2022,Q4,Varroa Mites,17.9
Arizona,2023,Q1,Disease,0
Arizona,2023,Q1,Pests (Excl Varroa Mites),0
Arizona,2023,Q1,Unknown Causes,0.5
Arizona,2023,Q1,Varroa Mites,72.9
Arizona,2023,Q2,Disease,2.1
Arizona,2023,Q2,Other Causes,0.7
Arizona,2023,Q2,Pesticides,0
Arizona,2023,Q2,Pests (Excl Varroa Mites),0
Arizona,2023,Q2,Varroa Mites,15.4
Arizona,2023,Q3,Disease,2.7
Arizona,2023,Q3,Other Causes,18.1
Arizona,2023,Q3,Pesticides,3.8
Arizona,2023,Q3,Unknown Causes,0.7
Arizona,2023,Q3,Varroa Mites,26.3
Arizona,2023,Q4,Disease,0
Arizona,2023,Q4,Other Causes,1
Arizona,2023,Q4,Pesticides,0.7
Arizona,2023,Q4,Pests (Excl Varroa Mites),0
Arizona,2023,Q4,Unknown Causes,16.9
Arizona,2023,Q4,Varroa Mites,24.8
Arizona,2024,Q1,Disease,1.4
Arizona,2024,Q1,Pesticides,0.6
Arizona,2024,Q1,Pests (Excl Varroa Mites),0.5
Arizona,2024,Q1,Unknown Causes,2.4
Arizona,2024,Q1,Varroa Mites,15.5
Arizona,2024,Q2,Other Causes,1
Arizona,2024,Q2,Pesticides,1
Arizona,2024,Q2,Unknown Causes,0
Arizona,2024,Q2,Varroa Mites,11.7
Arkansas,2015,Q1,Disease,1.5
Arkansas,2015,Q1,Other Causes,1
Arkansas,2015,Q1,Pesticides,3.4
Arkansas,2015,Q1,Pests (Excl Varroa Mites),11.4
Arkansas,2015,Q1,Unknown Causes,1
Arkansas,2015,Q1,Varroa Mites,17.6
Arkansas,2015,Q2,Disease,7
Arkansas,2015,Q2,Other Causes,27.4
Arkansas,2015,Q2,Pesticides,22.6
Arkansas,2015,Q2,Pests (Excl Varroa Mites),63.4
Arkansas,2015,Q2,Unknown Causes,9.3
Arkansas,2015,Q2,Varroa Mites,65.9
Arkansas,2015,Q3,Disease,0.9
Arkansas,2015,Q3,Other Causes,1.8
Arkansas,2015,Q3,Pesticides,5
Arkansas,2015,Q3,Pests (Excl Varroa Mites),32.4
Arkansas,2015,Q3,Unknown Causes,1.4
Arkansas,2015,Q3,Varroa Mites,69.2
Arkansas,2015,Q4,Disease,0.1
Arkansas,2015,Q4,Other Causes,8.5
Arkansas,2015,Q4,Pesticides,8.2
Arkansas,2015,Q4,Pests (Excl Varroa Mites),9.7
Arkansas,2015,Q4,Unknown Causes,0.6
Arkansas,2015,Q4,Varroa Mites,38.1
Arkansas,2016,Q1,Disease,0
Arkansas,2016,Q1,Other Causes,1.9
Arkansas,2016,Q1,Pesticides,0.5
Arkansas,2016,Q1,Pests (Excl Varroa Mites),6.9
Arkansas,2016,Q1,Unknown Causes,8.1
Arkansas,2016,Q1,Varroa Mites,57.4
Arkansas,2016,Q2,Disease,5.5
Arkansas,2016,Q2,Other Causes,3.4
Arkansas,2016,Q2,Pesticides,0.1
Arkansas,2016,Q2,Pests (Excl Varroa Mites),8.5
Arkansas,2016,Q2,Unknown Causes,1.6
Arkansas,2016,Q2,Varroa Mites,84.9
Arkansas,2016,Q3,Disease,0.4
Arkansas,2016,Q3,Other Causes,2.7
Arkansas,2016,Q3,Pesticides,7.9
Arkansas,2016,Q3,Pests (Excl Varroa Mites),9
Arkansas,2016,Q3,Unknown Causes,0.3
Arkansas,2016,Q3,Varroa Mites,80.7
Arkansas,2016,Q4,Disease,0
Arkansas,2016,Q4,Other Causes,1.1
Arkansas,2016,Q4,Pesticides,1.3
Arkansas,2016,Q4,Pests (Excl Varroa Mites),4.8
Arkansas,2016,Q4,Unknown Causes,3.3
Arkansas,2016,Q4,Varroa Mites,21.1
Arkansas,2017,Q1,Disease,0.1
Arkansas,2017,Q1,Other Causes,3
Arkansas,2017,Q1,Pesticides,0.5
Arkansas,2017,Q1,Pests (Excl Varroa Mites),14.6
Arkansas,2017,Q1,Unknown Causes,1
Arkansas,2017,Q1,Varroa Mites,31.5
Arkansas,2017,Q2,Disease,1.9
Arkansas,2017,Q2,Other Causes,2.7
Arkansas,2017,Q2,Pesticides,3.9
Arkansas,2017,Q2,Pests (Excl Varroa Mites),9.6
Arkansas,2017,Q2,Unknown Causes,2.5
Arkansas,2017,Q2,Varroa Mites,19.4
Arkansas,2017,Q3,Disease,0
Arkansas,2017,Q3,Other Causes,9.3
Arkansas,2017,Q3,Pesticides,17
Arkansas,2017,Q3,Pests (Excl Varroa Mites),9.1
Arkansas,2017,Q3,Unknown Causes,2.3
Arkansas,2017,Q3,Varroa Mites,61.4
Arkansas,2017,Q4,Disease,26.6
Arkansas,2017,Q4,Other Causes,24.1
Arkansas,2017,Q4,Pesticides,31
Arkansas,2017,Q4,Pests (Excl Varroa Mites),29.2
Arkansas,2017,Q4,Unknown Causes,0.4
Arkansas,2017,Q4,Varroa Mites,37.5
Arkansas,2018,Q1,Disease,1
Arkansas,2018,Q1,Other Causes,4.6
Arkansas,2018,Q1,Pesticides,23
Arkansas,2018,Q1,Pests (Excl Varroa Mites),9.6
Arkansas,2018,Q1,Unknown Causes,13.9
Arkansas,2018,Q1,Varroa Mites,21.1
Arkansas,2018,Q2,Disease,0.7
Arkansas,2018,Q2,Other Causes,17
Arkansas,2018,Q2,Pesticides,2.2
Arkansas,2018,Q2,Pests (Excl Varroa Mites),12.8
Arkansas,2018,Q2,Unknown Causes,13.2
Arkansas,2018,Q2,Varroa Mites,30.9
Arkansas,2018,Q3,Disease,0.1
Arkansas,2018,Q3,Other Causes,0.5
Arkansas,2018,Q3,Pesticides,17.6
Arkansas,2018,Q3,Pests (Excl Varroa Mites),7.8
Arkansas,2018,Q3,Unknown Causes,0.6
Arkansas,2018,Q3,Varroa Mites,29.9
Arkansas,2018,Q4,Disease,0
Arkansas,2018,Q4,Other Causes,5.3
Arkansas,2018,Q4,Pesticides,73.5
Arkansas,2018,Q4,Pests (Excl Varroa Mites),7.1
Arkansas,2018,Q4,Unknown Causes,2.2
Arkansas,2018,Q4,Varroa Mites,82.8
Arkansas,2019,Q1,Disease,3.3
Arkansas,2019,Q1,Other Causes,0.7
Arkansas,2019,Q1,Pesticides,55.3
Arkansas,2019,Q1,Pests (Excl Varroa Mites),1.5
Arkansas,2019,Q1,Unknown Causes,2.9
Arkansas,2019,Q1,Varroa Mites,19.5
Arkansas,2019,Q3,Disease,6.8
Arkansas,2019,Q3,Other Causes,6.9
Arkansas,2019,Q3,Pesticides,50.5
Arkansas,2019,Q3,Pests (Excl Varroa Mites),19.7
Arkansas,2019,Q3,Unknown Causes,39.3
Arkansas,2019,Q3,Varroa Mites,53.2
Arkansas,2019,Q4,Disease,1.4
Arkansas,2019,Q4,Other Causes,12.5
Arkansas,2019,Q4,Pesticides,7.8
Arkansas,2019,Q4,Pests (Excl Varroa Mites),39.7
Arkansas,2019,Q4,Unknown Causes,32.8
Arkansas,2019,Q4,Varroa Mites,47.7
Arkansas,2020,Q1,Pesticides,2.6
Arkansas,2020,Q1,Pests (Excl Varroa Mites),22.7
Arkansas,2020,Q1,Unknown Causes,11.2
Arkansas,2020,Q1,Varroa Mites,31.7
Arkansas,2020,Q2,Disease,5.1
Arkansas,2020,Q2,Other Causes,2.1
Arkansas,2020,Q2,Pesticides,24.6
Arkansas,2020,Q2,Pests (Excl Varroa Mites),15.3
Arkansas,2020,Q2,Unknown Causes,12.4
Arkansas,2020,Q2,Varroa Mites,40.5
Arkansas,2020,Q3,Disease,3.9
Arkansas,2020,Q3,Other Causes,1.3
Arkansas,2020,Q3,Pesticides,13.9
Arkansas,2020,Q3,Pests (Excl Varroa Mites),15.6
Arkansas,2020,Q3,Unknown Causes,8.6
Arkansas,2020,Q3,Varroa Mites,33.9
Arkansas,2020,Q4,Disease,1.7
Arkansas,2020,Q4,Other Causes,5.9
Arkansas,2020,Q4,Pesticides,12.8
Arkansas,2020,Q4,Pests (Excl Varroa Mites),12.9
Arkansas,2020,Q4,Unknown Causes,5.7
Arkansas,2020,Q4,Varroa Mites,43.1
Arkansas,2021,Q1,Disease,0
Arkansas,2021,Q1,Other Causes,3.8
Arkansas,2021,Q1,Pesticides,13.2
Arkansas,2021,Q1,Pests (Excl Varroa Mites),18.3
Arkansas,2021,Q1,Unknown Causes,2.5
Arkansas,2021,Q1,Varroa Mites,27.2
Arkansas,2021,Q2,Disease,5.7
Arkansas,2021,Q2,Other Causes,2
Arkansas,2021,Q2,Pesticides,2.8
Arkansas,2021,Q2,Pests (Excl Varroa Mites),21.9
Arkansas,2021,Q2,Unknown Causes,3.6
Arkansas,2021,Q2,Varroa Mites,42.2
Arkansas,2021,Q3,Disease,3.2
Arkansas,2021,Q3,Other Causes,5.8
Arkansas,2021,Q3,Pesticides,30.6
Arkansas,2021,Q3,Pests (Excl Varroa Mites),32.9
Arkansas,2021,Q3,Unknown Causes,4.9
Arkansas,2021,Q3,Varroa Mites,42.3
Arkansas,2021,Q4,Disease,0
Arkansas,2021,Q4,Other Causes,0.6
Arkansas,2021,Q4,Pesticides,25.6
Arkansas,2021,Q4,Pests (Excl Varroa Mites),28.2
Arkansas,2021,Q4,Unknown Causes,0.7
Arkansas,2021,Q4,Varroa Mites,35.7
Arkansas,2022,Q1,Disease,0
Arkansas,2022,Q1,Other Causes,1.3
